,Dataset,AMI,ARI,tmax
0,Blobs,0.4641914901278577,0.18531589355243958,0
1,Blobs,1.0,1.0,1
2,Blobs,1.0,1.0,2
3,Blobs,1.0,1.0,3
4,Blobs,1.0,1.0,4
5,Blobs,1.0,1.0,5
6,Blobs,1.0,1.0,6
7,Blobs,1.0,1.0,7
8,Blobs,1.0,1.0,8
9,Blobs,1.0,1.0,9
10,Blobs,1.0,1.0,10
11,Blobs,1.0,1.0,11
12,Blobs,0.5890049560182024,0.37406015037593987,12
13,Blobs,0.5890049560182024,0.37406015037593987,13
14,Blobs,0.5890049560182024,0.37406015037593987,14
15,Blobs,0.5890049560182024,0.37406015037593987,15
16,Blobs,0.5890049560182024,0.37406015037593987,16
17,Blobs,0.5890049560182024,0.37406015037593987,17
18,Blobs,0.5890049560182024,0.37406015037593987,18
19,Blobs,0.5890049560182024,0.37406015037593987,19
20,Blobs,0.5890049560182024,0.37406015037593987,20
21,Blobs,0.5890049560182024,0.37406015037593987,21
22,Blobs,0.5890049560182024,0.37406015037593987,22
23,Blobs,0.5890049560182024,0.37406015037593987,23
24,Blobs,0.5890049560182024,0.37406015037593987,24
25,Blobs,0.5890049560182024,0.37406015037593987,25
26,Blobs,0.5890049560182024,0.37406015037593987,26
27,Blobs,0.5890049560182024,0.37406015037593987,27
28,Blobs,0.5890049560182024,0.37406015037593987,28
29,Blobs,0.5890049560182024,0.37406015037593987,29
30,Moons,0.14258964151789286,0.0043154811133617335,0
31,Moons,0.1788083887830995,0.008598574722368232,1
32,Moons,0.33409344158052257,0.1308897652928391,2
33,Moons,0.42098605328130895,0.2749561935190233,3
34,Moons,0.4069606665060158,0.21744415353486546,4
35,Moons,0.38118355017699174,0.17324118695977542,5
36,Moons,0.39345878765990633,0.22787065434714376,6
37,Moons,0.4941513634217683,0.40367762119916,7
38,Moons,0.3626299007918335,0.16338411360188473,8
39,Moons,0.3985642370260018,0.2296523917848853,9
40,Moons,0.5498643744199069,0.43618170940580175,10
