,step,n_samples,n_centers,jitter,features,eps,min_pts,bandwidth,ROCK,K_MEANS,DBSCAN,SPECTRAL,MEAN_SHIFT
0,0,800,2,0.03,2,0.2,4,1.2412274478036254,0.3323188710343386,0.32959541697195627,0.13767132952630867,0.2734267544375828,0.07042995757094295
1,1,800,2,0.03,2,0.2,4,0.8858789725922395,0.9747653376473633,0.9023595099577655,0.72689808300363,0.8960963614438039,0.9221047313538856
2,2,800,2,0.03,2,0.2,4,1.1696475035750225,0.8330908355556303,0.6933637151245827,0.07915021866478911,0.687164219692996,0.7509934354272416
3,3,800,2,0.03,2,0.2,4,1.1546635541435775,0.6857422142500854,0.6477599340671694,0.10465248266056747,0.5399830572750938,0.0
4,4,800,2,0.03,2,0.2,4,1.2371063553899726,-0.00042692379226442253,0.29048339465385653,0.20392458101578556,0.1524098087989001,0.04006280950792322
5,5,800,2,0.03,2,0.2,4,1.2308413629613715,0.027938106928487194,0.03639224277775218,0.1744005880848977,0.005018429143740151,0.046001590903366474
6,6,800,2,0.03,2,0.2,4,1.2323717381470294,0.5617867622111483,0.42408272763602756,0.10377095659373192,0.3765696593875279,0.0
7,7,800,2,0.03,2,0.2,4,1.2249023467761961,0.7465951450272149,0.6275817315326365,0.10107782008235051,0.5710923154524581,0.07938187021837775
8,8,800,2,0.03,2,0.2,4,1.2348596947675914,0.7737625953303114,0.7443199535162809,0.09610227024098811,0.7318981615941829,0.7834708535011221
9,9,800,2,0.03,2,0.2,4,0.8793558649799188,0.9362430372326475,0.9023595099577655,0.8277780412214534,0.8960963614438039,0.9023595099577655
10,0,800,2,0.03,5,0.2,4,2.183612762846429,0.9362430372326475,0.878096180897467,0.0,0.8960963614438039,0.9221047313538856
11,1,800,2,0.03,5,0.2,4,1.848519097272254,0.9772628917101801,0.9772628917101801,0.014505825219212592,0.9772628917101801,0.9165393629156806
12,2,800,2,0.03,5,0.2,4,2.296177183675668,0.49771677975992384,0.5226160775900887,0.0,0.45867311726328186,0.04905921152745249
13,3,800,2,0.03,5,0.2,4,1.7446191477411863,1.0,1.0,0.03670425777271416,1.0,1.0
14,4,800,2,0.03,5,0.2,4,1.3295002230725976,1.0,1.0,0.1496019837490662,1.0,1.0
15,5,800,2,0.03,5,0.2,4,1.8629521734160388,0.9772628917101801,0.9514247207854725,0.021025799768303776,0.9595293440372245,0.9267257813158349
16,6,800,2,0.03,5,0.2,4,1.7545116163269998,1.0,0.9772628917101801,0.0,0.9772628917101801,0.9471038779483651
17,7,800,2,0.03,5,0.2,4,1.5474813786027741,1.0,0.9873803840988731,0.04902849475466207,1.0,1.0
18,8,800,2,0.03,5,0.2,4,1.8034329691898736,1.0,0.9873803840988731,0.0,1.0,0.919472250903975
19,9,800,2,0.03,5,0.2,4,2.3024993436185395,0.7555902631048721,0.7130368568289766,0.0,0.6805701666189152,0.0
20,0,800,2,0.03,10,0.2,4,2.9677357902737174,0.9873803840988732,0.9772628917101801,0.0,0.9873803840988731,0.9772628917101801
21,1,800,2,0.03,10,0.2,4,3.150471213122381,0.9873803840988731,0.9772628917101801,0.0,0.9873803840988731,0.9329675061118232
22,2,800,2,0.03,10,0.2,4,2.8302529510004786,1.0,1.0,0.0,1.0,0.9726262845605567
23,3,800,2,0.03,10,0.2,4,3.0435151219855108,1.0,0.9873803840988732,0.0,1.0,0.9570847634552425
24,4,800,2,0.03,10,0.2,4,2.618979371299588,1.0,1.0,0.0,1.0,1.0
25,5,800,2,0.03,10,0.2,4,2.8033029912078247,1.0,1.0,0.0,1.0,0.9762921975624905
26,6,800,2,0.03,10,0.2,4,2.5581496497777225,1.0,1.0,0.0,1.0,0.9655479941794339
27,7,800,2,0.03,10,0.2,4,2.5224440668093377,1.0,1.0,0.0,1.0,1.0
28,8,800,2,0.03,10,0.2,4,2.8706011790965977,1.0,1.0,0.0,1.0,0.9702842611495601
29,9,800,2,0.03,10,0.2,4,2.533396649833395,1.0,1.0,0.0,1.0,1.0
30,0,800,2,0.03,15,0.2,4,3.149176601832446,1.0,1.0,0.0,1.0,0.984287458165766
31,1,800,2,0.03,15,0.2,4,3.259174102398917,1.0,1.0,0.0,1.0,0.984287458165766
32,2,800,2,0.03,15,0.2,4,3.9874024231633767,0.9873803840988731,0.9873803840988732,0.0,0.9873803840988732,0.9504903165102759
33,3,800,2,0.03,15,0.2,4,3.571235618321651,1.0,1.0,0.0,1.0,0.9561106150101084
34,4,800,2,0.03,15,0.2,4,2.975366482534881,1.0,1.0,0.0,1.0,0.9577484366421511
35,5,800,2,0.03,15,0.2,4,3.882644153493126,1.0,1.0,0.0,1.0,0.9492383203347813
36,6,800,2,0.03,15,0.2,4,3.272689013534865,1.0,1.0,0.0,1.0,1.0
37,7,800,2,0.03,15,0.2,4,3.300519784385038,1.0,1.0,0.0,1.0,0.9733674467353511
38,8,800,2,0.03,15,0.2,4,3.7364338498730776,1.0,1.0,0.0,1.0,0.9781859056376557
39,9,800,2,0.03,15,0.2,4,2.991245698035527,1.0,1.0,0.0,1.0,0.9395279087041435
40,0,800,2,0.03,20,0.2,4,4.528478623178149,1.0,1.0,0.0,1.0,0.9471327403273926
41,1,800,2,0.03,20,0.2,4,3.613289584082768,1.0,1.0,0.0,1.0,0.9704762744589838
42,2,800,2,0.03,20,0.2,4,4.65859418537962,1.0,1.0,0.0,1.0,0.9471327403273926
43,3,800,2,0.03,20,0.2,4,4.318004659261214,1.0,1.0,0.0,1.0,0.9196347120184468
44,4,800,2,0.03,20,0.2,4,4.132871346807573,1.0,1.0,0.0,1.0,0.9555962316800418
45,5,800,2,0.03,20,0.2,4,3.851808288371667,1.0,1.0,0.0,1.0,0.9385561054373902
46,6,800,2,0.03,20,0.2,4,4.270751448187416,1.0,1.0,0.0,1.0,0.9657231554880066
47,7,800,2,0.03,20,0.2,4,4.5022884830116565,1.0,1.0,0.0,1.0,0.987511199316656
48,8,800,2,0.03,20,0.2,4,4.2074975210580865,1.0,1.0,0.0,1.0,0.9430371550087782
49,9,800,2,0.03,20,0.2,4,4.275357630130338,1.0,1.0,0.0,1.0,0.95981002719931
