,step,n_samples,n_centers,jitter,eps,min_pts,bandwidth,ROCK,K_MEANS,DBSCAN,SPECTRAL,MEAN_SHIFT
0,0,50,2,0.15,0.2,4,1.2564902703143153,0.47033939895748283,0.3561119549662717,0.09877101885473774,0.4084454855199278,0.5263325318266301
1,1,50,2,0.15,0.2,4,1.2062717263395077,0.23453381325321465,0.31065051600811694,0.0,0.4084454855199278,0.28094392469183793
2,2,50,2,0.15,0.2,4,1.2467167097951606,0.7245795742486358,0.36106066979823187,0.09877101885473774,0.3610606697982319,0.3610606697982319
3,3,50,2,0.15,0.2,4,1.240090570064892,0.33715360113508763,0.3106505160081169,0.0,0.3106505160081169,0.3106505160081169
4,4,50,2,0.15,0.2,4,1.1811652750996624,0.3561119549662717,0.3561119549662717,0.0,0.3561119549662717,0.3561119549662717
5,5,50,2,0.15,0.2,4,1.2156133302413847,0.793041785068178,0.361060669798232,0.0,0.361060669798232,0.30705428997692524
6,6,50,2,0.15,0.2,4,1.2398686752605288,0.33715360113508763,0.3610606697982319,0.0,0.42110902692160457,0.42110902692160457
7,7,50,2,0.15,0.2,4,1.1935383036887968,0.4830563043885642,0.36106066979823187,0.0,0.3610606697982319,0.3610606697982319
8,8,50,2,0.15,0.2,4,1.2152920691988067,0.4626454383768709,0.4084454855199278,0.0,0.4084454855199278,0.3561119549662717
9,9,50,2,0.15,0.2,4,1.191229297438516,0.4703393989574827,0.4084454855199278,0.09877101885473774,0.4084454855199278,0.4084454855199278
10,0,100,2,0.15,0.2,4,1.2610527448919782,0.7245153084203909,0.38871043367420405,0.14929582098274904,0.4686069584125663,0.4686069584125663
11,1,100,2,0.15,0.2,4,1.231967122140241,0.5175147019202834,0.3610107095636945,0.21996077195433858,0.3610107095636945,0.3859961607848054
12,2,100,2,0.15,0.2,4,1.2261520295059902,0.41754065356161535,0.38871043367420405,0.2277091924416671,0.442238409143831,0.44223840914383106
13,3,100,2,0.15,0.2,4,1.2505415739444619,0.48457337259094463,0.33771649146422233,0.1764347618005966,0.41754065356161535,0.41294919166047367
14,4,100,2,0.15,0.2,4,1.234300666743907,0.3241229939324734,0.41754065356161535,0.21860209663863436,0.41754065356161535,0.41754065356161535
15,5,100,2,0.15,0.2,4,1.2194490387448393,0.3241229939324734,0.3610107095636944,0.1837414252673149,0.4114508587079953,0.41145085870799536
16,6,100,2,0.15,0.2,4,1.2401436700807569,0.8575159537539402,0.3610107095636945,0.16386793656763043,0.41294919166047367,0.3444526735878949
17,7,100,2,0.15,0.2,4,1.2260265562896038,0.5693070372035667,0.33992524083459313,0.22491642612564786,0.4114508587079953,0.4667336772399777
18,8,100,2,0.15,0.2,4,1.2447044093605515,0.7592561769713604,0.3444526735878949,0.20119642613633493,0.41754065356161535,0.41754065356161535
19,9,100,2,0.15,0.2,4,1.2361351425815048,0.7631083245723181,0.4686069584125663,0.20527715905187255,0.5299387237037461,0.501190349526497
20,0,200,2,0.15,0.2,4,1.235277118109227,0.5432989794586968,0.35215202062624085,0.2727574917142107,0.37623423541172674,0.4270225471466096
21,1,200,2,0.15,0.2,4,1.242386693764344,0.7601512023619559,0.36458891764521717,0.3130652937537482,0.4014319113264786,0.4140023860883962
22,2,200,2,0.15,0.2,4,1.2537717430397572,0.6031337683063828,0.4007249724822449,0.31101206774278545,0.4405286784171737,0.4270225471466096
23,3,200,2,0.15,0.2,4,1.2407043914707996,0.8580435833306055,0.3515769857726696,0.3412886650364788,0.4014319113264786,0.4014319113264786
24,4,200,2,0.15,0.2,4,1.2510002071276802,0.6299719442360542,0.3515769857726696,0.36142126676226366,0.38793543320498114,0.4140023860883962
25,5,200,2,0.15,0.2,4,1.2332869604149101,0.7277060269044859,0.4007249724822449,0.31670981821216937,0.44094358512344944,0.44094358512344944
26,6,200,2,0.15,0.2,4,1.2312734817805004,0.5936875064235465,0.3174425187025167,0.3372787755872403,0.41363030224885533,0.4140023860883962
27,7,200,2,0.15,0.2,4,1.24662177172662,0.489818029058646,0.35157698577266966,0.31303713509671455,0.4014319113264786,0.38927934381834056
28,8,200,2,0.15,0.2,4,1.221555953548655,0.4103212083689933,0.34099158804031754,0.30055017835119774,0.38793543320498114,0.4007249724822449
29,9,200,2,0.15,0.2,4,1.257435327875344,0.47060880318336334,0.4007249724822449,0.34052068789595513,0.4270225471466096,0.46917301196465316
30,0,400,2,0.15,0.2,4,1.243094619759592,0.45705060315458673,0.40252597255837397,0.03441541690717942,0.4497684124312714,0.4862284313144228
31,1,400,2,0.15,0.2,4,1.2416150764099,0.5085199693977771,0.3903959122007103,0.4728196171453216,0.40252597255837397,0.40929075595404185
32,2,400,2,0.15,0.2,4,1.2338224650253538,0.8076133460303825,0.4017319929211615,0.7115546740052087,0.44848636709686324,0.46277586445685887
33,3,400,2,0.15,0.2,4,1.2387982133556499,0.4971614612905911,0.40820246914929004,0.6062126736373012,0.4564375492728863,0.46322743561359775
34,4,400,2,0.15,0.2,4,1.2574205526634727,0.6809378668118313,0.3710493439048303,0.6478487351330328,0.40252597255837397,0.4150732691838765
35,5,400,2,0.15,0.2,4,1.2422467047325574,0.7082318477268036,0.35874732400627224,0.16814987503679626,0.4020843288517348,0.3955499129702727
36,6,400,2,0.15,0.2,4,1.248553365702594,0.5962213591766882,0.3243416351798992,0.7140100193779839,0.40026084504990544,0.3903959122007103
37,7,400,2,0.15,0.2,4,1.2591293396775953,0.544149099179826,0.38980717200793746,0.7659979918657025,0.4215131273588164,0.42806951814137595
38,8,400,2,0.15,0.2,4,1.238095845680138,0.5841855863084444,0.4155390825026568,0.6072915970333982,0.42954671754225443,0.43677405122988
39,9,400,2,0.15,0.2,4,1.2517258484023375,0.4421129872435482,0.3953783933256764,0.49046563661580284,0.43474711450119446,0.44848636709686324
40,0,800,2,0.15,0.2,4,1.2477940567526733,0.6157839209600133,0.3621739982811956,0.0015512450161746922,0.4023629254669761,0.42184759345043776
41,1,800,2,0.15,0.2,4,1.2432290724679458,0.6901928480477717,0.37456878113190517,0.015760119025557566,0.40262707880041254,0.42851521242412355
42,2,800,2,0.15,0.2,4,1.2429910582085237,0.8527743906194832,0.3927533855711341,-0.0007682997713004772,0.4386428709838782,0.4352601443124953
43,3,800,2,0.15,0.2,4,1.2420983475727683,0.45390852730665743,0.3899424054899061,0.028913582543770015,0.43533558613532497,0.4455055628785195
44,4,800,2,0.15,0.2,4,1.250563223846332,0.5769014084355603,0.3883566107924459,0.011388186883405574,0.41325789105518296,0.43614277255515704
45,5,800,2,0.15,0.2,4,1.263303981088497,0.9164786564005376,0.36558820444674706,-0.0011498634117052917,0.4283749805649358,0.42783304095421176
46,6,800,2,0.15,0.2,4,1.2503194624119072,0.6741628828894778,0.37456878113190517,0.0230774952302801,0.40368860117768235,0.42937401066597874
47,7,800,2,0.15,0.2,4,1.252780516737175,0.6847372196085797,0.35329558101074066,0.0016489495122099062,0.42937401066597874,0.4326051528521964
48,8,800,2,0.15,0.2,4,1.2539567119973956,0.7271230882227316,0.36579607952645,-0.001543042456390512,0.410991767512296,0.41450949807218374
49,9,800,2,0.15,0.2,4,1.2333026075848195,0.505710795323445,0.36528639045758793,0.005201434646589942,0.4022969632661939,0.3991301429857028
