,step,n_samples,n_centers,jitter,features,eps,min_pts,bandwidth,ROCK,K_MEANS,DBSCAN,SPECTRAL,MEAN_SHIFT
0,0,800,2,0.03,2,6,6,1.2412274478036254,0.3323188710343386,0.32959541697195627,0.1789002701206018,0.2734267544375828,0.07042995757094295
1,1,800,2,0.03,2,6,6,0.8858789725922395,0.9747653376473633,0.9023595099577655,0.748111144988997,0.8960963614438039,0.9221047313538856
2,2,800,2,0.03,2,6,6,1.1696475035750225,0.8330908355556303,0.6933637151245827,0.09954591583419158,0.6871642196929961,0.7509934354272416
3,3,800,2,0.03,2,6,6,1.1546635541435775,0.6857422142500854,0.6477599340671694,0.15528308227468235,0.5399830572750938,0.0
4,4,800,2,0.03,2,6,6,1.2371063553899726,-0.00042692379226442253,0.29048339465385653,0.20567777180609143,0.1524098087989001,0.04006280950792322
5,5,800,2,0.03,2,6,6,1.2308413629613715,0.027938106928487194,0.03639224277775218,0.1743897256228098,0.005018429143740151,0.046001590903366474
6,6,800,2,0.03,2,6,6,1.2323717381470294,0.5617867622111483,0.42408272763602756,0.14029904355916145,0.3765696593875279,0.0
7,7,800,2,0.03,2,6,6,1.2249023467761961,0.7465951450272149,0.6275817315326365,0.14246005600432765,0.5710923154524581,0.07938187021837775
8,8,800,2,0.03,2,6,6,1.2348596947675914,0.7737625953303114,0.7443199535162809,0.5069823495131884,0.7318981615941829,0.7834708535011221
9,9,800,2,0.03,2,6,6,0.8793558649799188,0.9362430372326475,0.9023595099577655,0.7850676945997457,0.8960963614438039,0.9023595099577655
10,0,800,2,0.03,3,6,6,1.6836606440519823,0.5728504365214867,0.4311138977761651,0.13783969485214148,0.4181758035318938,0.05372501035974396
11,1,800,2,0.03,3,6,6,1.6221162689953013,0.8962038549180336,0.6947576994128692,0.36159738127554103,0.7608092027490505,0.0
12,2,800,2,0.03,3,6,6,1.6021895288550199,0.8774167278526538,0.7318981615941829,0.32162507932965695,0.7207372754188046,0.0
13,3,800,2,0.03,3,6,6,1.605334251858164,0.9514247207854725,0.8346140568260292,0.2969515109132497,0.8556388248009058,0.9027754102148307
14,4,800,2,0.03,3,6,6,1.398963220310981,1.0,0.9087723065138458,0.5431907278339065,0.9436830443543673,0.8745674284611626
15,5,800,2,0.03,3,6,6,1.0468540254496113,0.9873803840988731,0.9772628917101801,0.5441021186130521,0.9873803840988731,0.9772628917101801
16,6,800,2,0.03,3,6,6,1.3813700071070054,1.0,0.8839740280793541,0.553611725804005,0.9680896184154518,0.9290611298695924
17,7,800,2,0.03,3,6,6,1.5339974811072914,0.9772628917101801,0.7524827033543073,0.45718314578316754,0.8052420949454242,0.8035745669373857
18,8,800,2,0.03,3,6,6,0.9129271188808167,1.0,1.0,0.5922325981562487,1.0,1.0
19,9,800,2,0.03,3,6,6,1.5248085641750087,0.8120588792495892,0.7568613077674501,0.3151857091754825,0.777989641360454,0.802283899043458
20,0,800,2,0.03,4,6,6,1.9863966382904505,0.7779896413604541,0.6823875737554103,0.0,0.6341413967895887,0.021292614577248924
21,1,800,2,0.03,4,6,6,1.8617914889675147,0.9772628917101801,0.8839740280793541,0.012296299830642118,0.9221047313538856,0.8596203590228636
22,2,800,2,0.03,4,6,6,1.899573220230863,0.8556388248009058,0.8099779938605792,0.0,0.7959437520097963,0.8447715113286669
23,3,800,2,0.03,4,6,6,1.8072830411477634,0.9027754102148307,0.8556388248009058,0.0,0.8556388248009058,0.9023595099577655
24,4,800,2,0.03,4,6,6,1.7374363156534753,0.9873803840988731,0.9362430372326475,0.07302860240044382,0.9514247207854725,0.9436830443543673
25,5,800,2,0.03,4,6,6,1.5309822882625554,1.0,0.9680896184154518,0.11897094432798175,0.9772628917101801,0.9415950264622948
26,6,800,2,0.03,4,6,6,1.4239298107394864,1.0,0.9873803840988731,0.18719150559172545,0.9873803840988732,0.9873803840988731
27,7,800,2,0.03,4,6,6,1.6349873446732754,1.0,0.9873803840988731,0.14594338773028526,1.0,0.9873803840988731
28,8,800,2,0.03,4,6,6,1.3601414722762988,1.0,1.0,0.3004925828139952,1.0,0.9873803840988731
29,9,800,2,0.03,4,6,6,2.0213304960422516,0.6218357460076218,0.5415073440452989,0.0,0.4564643710225516,0.0
30,0,800,2,0.03,5,6,6,2.183612762846429,0.9362430372326475,0.878096180897467,0.0,0.8960963614438039,0.9221047313538856
31,1,800,2,0.03,5,6,6,1.848519097272254,0.9772628917101801,0.9772628917101801,0.0,0.9772628917101801,0.9165393629156806
32,2,800,2,0.03,5,6,6,2.296177183675668,0.49771677975992384,0.5226160775900887,0.0,0.45867311726328186,0.04905921152745249
33,3,800,2,0.03,5,6,6,1.7446191477411863,1.0,1.0,0.0,1.0,1.0
34,4,800,2,0.03,5,6,6,1.3295002230725976,1.0,1.0,0.08977039151771005,1.0,1.0
35,5,800,2,0.03,5,6,6,1.8629521734160388,0.9772628917101801,0.9514247207854725,0.0,0.9595293440372245,0.9267257813158349
36,6,800,2,0.03,5,6,6,1.7545116163269998,1.0,0.9772628917101801,0.0,0.9772628917101801,0.9471038779483651
37,7,800,2,0.03,5,6,6,1.5474813786027741,1.0,0.9873803840988731,0.0,1.0,1.0
38,8,800,2,0.03,5,6,6,1.8034329691898736,1.0,0.9873803840988731,0.0,1.0,0.919472250903975
39,9,800,2,0.03,5,6,6,2.3024993436185395,0.7555902631048721,0.7130368568289766,0.0,0.6805701666189152,0.0
