,step,n_samples,n_centers,jitter,eps,min_pts,bandwidth,ROCK,K_MEANS,DBSCAN,SPECTRAL,MEAN_SHIFT
0,0,1000,2,0.01,0.2,4,1.2451043502783168,0.24091945199282805,0.387223453255782,1.0,0.4394247832966086,0.4366952597833216
1,1,1000,2,0.01,0.2,4,1.2461089017778066,0.24664075354147064,0.3822597937212481,1.0,0.4449138755528991,0.442158812943038
2,2,1000,2,0.01,0.2,4,1.2455757984958185,0.2429191446330563,0.3822597937212481,1.0,0.4421753477149427,0.4394247832966086
3,3,1000,2,0.01,0.2,4,1.246322654524453,0.24509025123368297,0.3847458285223912,1.0,0.442158812943038,0.442158812943038
4,4,1000,2,0.01,0.2,4,1.2453381320135797,0.21231837232472373,0.38973215713146786,1.0,0.4394247832966086,0.4367114340736112
5,5,1000,2,0.01,0.2,4,1.2445713234704276,0.20978379068192743,0.3897722092016277,1.0,0.442158812943038,0.4394247832966086
6,6,1000,2,0.01,0.2,4,1.2454543333228412,0.21653891834618597,0.3797915042088826,1.0,0.442158812943038,0.442158812943038
7,7,1000,2,0.01,0.2,4,1.2462369929584145,0.2428379095384994,0.3872498756234681,1.0,0.4449138755528991,0.442158812943038
8,8,1000,2,0.01,0.2,4,1.2451521025572347,0.2431229941239359,0.3847458285223912,1.0,0.4312979352952209,0.4312979352952209
9,9,1000,2,0.01,0.2,4,1.2463964692433875,0.24145081766076018,0.39223216244724235,1.0,0.4366952597833216,0.4339864245294516
10,0,1000,2,0.05,0.2,4,1.2442718779792963,0.30571381501747225,0.4023867337732892,1.0,0.4339864245294516,0.4312821111119288
11,1,1000,2,0.05,0.2,4,1.2490816228697923,0.32489218935498465,0.37741677322038486,0.9948145294868933,0.43465989551115947,0.42878610368419556
12,2,1000,2,0.05,0.2,4,1.246873671040262,1.0,0.37736605310112525,1.0,0.4394574924968016,0.4394574924968016
13,3,1000,2,0.05,0.2,4,1.2475455376076958,0.31582176287435615,0.37759443713117063,1.0,0.4367114340736112,0.442158812943038
14,4,1000,2,0.05,0.2,4,1.2485508930459241,0.5682817721272692,0.382285674773987,1.0,0.4366952597833216,0.4366952597833216
15,5,1000,2,0.05,0.2,4,1.2399019225070318,0.3134252705338534,0.38724987562346813,1.0,0.4312979352952209,0.4312979352952209
16,6,1000,2,0.05,0.2,4,1.2455423872507327,0.3434950889957337,0.3773406998654343,1.0,0.4285981514788376,0.4312979352952209
17,7,1000,2,0.05,0.2,4,1.2473862396843571,0.36425333614975025,0.37741677322038486,1.0,0.44222496344320483,0.4477410647973847
18,8,1000,2,0.05,0.2,4,1.2429097419664945,0.37808089992140886,0.37990680782069974,1.0,0.4450142219607642,0.4394247832966086
19,9,1000,2,0.05,0.2,4,1.2493885830236084,0.5630399054304921,0.3798427386634432,1.0,0.4340184231355603,0.4340184231355603
20,0,1000,2,0.1,0.2,4,1.246380013173654,0.5116776028984237,0.40241486646708025,0.9630578018303626,0.4394574924968017,0.4476734284462058
