,Dataset,AMI,ARI,tmax
0,Blobs,0.20416433456641672,0.30267293070722795,0
1,Blobs,0.3260018910508074,0.39990615057452883,1
2,Blobs,1.0,1.0,2
3,Blobs,1.0,1.0,3
4,Blobs,1.0,1.0,4
5,Blobs,1.0,1.0,5
6,Blobs,1.0,1.0,6
7,Blobs,1.0,1.0,7
8,Blobs,1.0,1.0,8
9,Blobs,1.0,1.0,9
10,Blobs,1.0,1.0,10
11,Blobs,1.0,1.0,11
12,Blobs,1.0,1.0,12
13,Blobs,1.0,1.0,13
14,Blobs,1.0,1.0,14
15,Blobs,1.0,1.0,15
16,Blobs,1.0,1.0,16
17,Blobs,1.0,1.0,17
18,Blobs,1.0,1.0,18
19,Blobs,1.0,1.0,19
20,Blobs,1.0,1.0,20
21,Blobs,1.0,1.0,21
22,Blobs,1.0,1.0,22
23,Blobs,1.0,1.0,23
24,Blobs,1.0,1.0,24
25,Blobs,1.0,1.0,25
26,Blobs,1.0,1.0,26
27,Blobs,1.0,1.0,27
28,Blobs,1.0,1.0,28
29,Blobs,1.0,1.0,29
30,Moons,0.10223214391678785,0.004786342537920614,0
31,Moons,0.15979039199981837,0.00836104431185142,1
32,Moons,0.326433801793943,0.13083521693788766,2
33,Moons,0.41564163389478076,0.27486748969600944,3
34,Moons,0.4034245808692536,0.2174476804063048,4
35,Moons,0.38010270295412985,0.17326104108035772,5
36,Moons,0.3931248182103064,0.2278826103802344,6
37,Moons,0.4941513634217682,0.40367762119915995,7
38,Moons,0.3614247671989877,0.16338793636266197,8
39,Moons,0.39783474875234354,0.22964831984503178,9
40,Moons,0.5498643744199072,0.43618170940580175,10
41,Moons,0.5803256668612359,0.46325678500133405,11
42,Moons,0.57996175337012,0.46439842694228256,12
43,Moons,0.44236922661376554,0.2684692868087988,13
44,Moons,0.41950606840591964,0.2389210538152578,14
45,Moons,0.4610046491719944,0.2815254451122081,15
46,Moons,0.44895200847394046,0.2525065503035347,16
47,Moons,0.4722037837329089,0.26488991225817365,17
48,Moons,0.49681655239070616,0.30229030794429596,18
49,Moons,0.4954321447193249,0.30273661634394594,19
50,Moons,0.4917505025735903,0.29810850357196916,20
51,Moons,0.4870995762158632,0.29195696471662663,21
52,Moons,0.5048744782683378,0.3113091668116345,22
53,Moons,0.5208819161743076,0.32147412417064714,23
54,Moons,0.4917940806091464,0.48394468807836605,24
55,Moons,0.5136335881226836,0.4837293507343028,25
56,Moons,0.5243292106070285,0.3257882543672551,26
57,Moons,0.5084678628629287,0.48094565460317873,27
58,Moons,0.47981687872387285,0.481160319055278,28
59,Moons,0.4982164802405286,0.46340897285114646,29
60,Circles,0.08035508866488464,0.0017517186897814596,0
61,Circles,0.1515467701958448,0.004444254683935901,1
62,Circles,0.011987452471547484,0.00020904946537705183,2
63,Circles,0.024755105554320915,0.0004933314769384157,3
64,Circles,0.1515467701958448,0.004444254683935901,4
65,Circles,0.1515467701958448,0.004444254683935901,5
66,Circles,0.1515467701958448,0.004444254683935901,6
67,Circles,0.1515467701958448,0.004444254683935901,7
68,Circles,0.1515467701958448,0.004444254683935901,8
69,Circles,0.1515467701958448,0.004444254683935901,9
70,Circles,0.017891098876068916,0.00031356109008311026,10
71,Circles,0.016518143910162934,0.0003339133513872862,11
72,Circles,0.1670306734286774,0.005723206106560728,12
73,Circles,0.17230418862049374,0.006283627260702066,13
74,Circles,0.17520046616848242,0.006468346996431408,14
75,Circles,0.18118858650271538,0.00716965543524358,15
76,Circles,0.1839615757216314,0.007415426327473803,16
77,Circles,0.18691109955612262,0.0077754727211654835,17
78,Circles,0.18516729662079479,0.007452996393518175,18
79,Circles,0.18534589111705407,0.007379421679192295,19
80,Circles,0.1867811268622802,0.007416991746927545,20
81,Circles,0.18450230995946418,0.007002155484535585,21
82,Circles,0.18428026622132634,0.007194702153830598,22
83,Circles,0.18416629560532094,0.007102342375155314,23
84,Circles,0.18269393807892842,0.006917622785815866,24
85,Circles,0.185463199575285,0.006989632122325919,25
86,Circles,0.18448741684457803,0.007205660092965832,26
87,Circles,0.18390884714885397,0.0072244451311341724,27
88,Circles,0.18817011079549759,0.007482739361218656,28
89,Circles,0.19028262600714083,0.007575099095977025,29
90,Iris,0.2595108181238546,0.2355356802848865,0
91,Iris,0.5097649614085735,0.4493888042803845,1
92,Iris,0.7118839503026607,0.6458588768396284,2
93,Iris,0.7315847607219573,0.5681159420289855,3
94,Iris,0.7906982329182587,0.7581930385690677,4
95,Iris,0.8553968865986616,0.8682571050219008,5
96,Iris,0.7954205025674188,0.7455038681804481,6
97,Iris,0.7954205025674188,0.7455038681804481,7
98,Iris,0.7954205025674188,0.7455038681804481,8
99,Iris,0.7315847607219573,0.5681159420289855,9
100,Iris,0.7315847607219573,0.5681159420289855,10
101,Iris,0.7315847607219573,0.5681159420289855,11
102,Iris,0.7315847607219573,0.5681159420289855,12
103,Iris,0.7315847607219573,0.5681159420289855,13
104,Iris,0.7315847607219573,0.5681159420289855,14
105,Iris,0.7315847607219573,0.5681159420289855,15
106,Iris,0.7315847607219573,0.5681159420289855,16
107,Iris,0.7315847607219573,0.5681159420289855,17
108,Iris,0.7315847607219573,0.5681159420289855,18
109,Iris,0.7315847607219573,0.5681159420289855,19
110,Iris,0.7315847607219573,0.5681159420289855,20
111,Iris,0.7315847607219573,0.5681159420289855,21
112,Iris,0.7315847607219573,0.5681159420289855,22
113,Iris,0.7315847607219573,0.5681159420289855,23
114,Iris,0.7315847607219573,0.5681159420289855,24
115,Iris,0.7315847607219573,0.5681159420289855,25
116,Iris,0.7315847607219573,0.5681159420289855,26
117,Iris,0.7315847607219573,0.5681159420289855,27
118,Iris,0.7315847607219573,0.5681159420289855,28
119,Iris,0.7315847607219573,0.5681159420289855,29
120,Wine,0.13786845359065505,0.036982707984875185,0
121,Wine,0.21734401444608623,0.07747690748957496,1
122,Wine,0.2887724959672849,0.15203764648996973,2
123,Wine,0.31522333606740643,0.2904601798840811,3
124,Wine,0.36169450987678714,0.38497654794092045,4
125,Wine,0.3753445154299608,0.3820252674052815,5
126,Wine,0.39533142600338206,0.39879240841426944,6
127,Wine,0.4072530114856764,0.35973009937598255,7
128,Wine,0.3990674134587744,0.345073084609236,8
129,Wine,0.40925166327161827,0.3542246300358828,9
130,Wine,0.4137088131680306,0.36502907200926377,10
131,Wine,0.4131380022001554,0.37150007821195313,11
132,Wine,0.4131380022001554,0.37150007821195313,12
133,Wine,0.4131380022001554,0.37150007821195313,13
134,Wine,0.4131380022001554,0.37150007821195313,14
135,Wine,0.4131380022001554,0.37150007821195313,15
136,Wine,0.4131380022001554,0.37150007821195313,16
137,Wine,0.4131380022001554,0.37150007821195313,17
138,Wine,0.4131380022001554,0.37150007821195313,18
139,Wine,0.4131380022001554,0.37150007821195313,19
140,Wine,0.4131380022001554,0.37150007821195313,20
141,Wine,0.4131380022001554,0.37150007821195313,21
142,Wine,0.4131380022001554,0.37150007821195313,22
143,Wine,0.4131380022001554,0.37150007821195313,23
144,Wine,0.4131380022001554,0.37150007821195313,24
145,Wine,0.27446323971886305,0.23435275187782156,25
146,Wine,0.27446323971886305,0.23435275187782156,26
147,Wine,0.27446323971886305,0.23435275187782156,27
148,Wine,0.27446323971886305,0.23435275187782156,28
149,Wine,0.27446323971886305,0.23435275187782156,29
150,Breast Cancer,0.2061711445434879,0.5352365729576718,0
151,Breast Cancer,0.2441601216379207,0.37170925689945067,1
152,Breast Cancer,0.3958572065345028,0.4645606742507873,2
153,Breast Cancer,0.4018228990526251,0.4516822553705908,3
154,Breast Cancer,0.43230112617575467,0.42999697814931176,4
155,Breast Cancer,0.43313227476388155,0.43505258693007237,5
156,Breast Cancer,0.4346559176600677,0.42863814579064,6
157,Breast Cancer,0.43866057730084257,0.45834430258043746,7
158,Breast Cancer,0.44694059010577236,0.44842277458513596,8
159,Breast Cancer,0.45497675091513273,0.5023508643664562,9
160,Breast Cancer,0.47216634595341156,0.5401252298869754,10
161,Breast Cancer,0.4680008167717548,0.5344255485079393,11
162,Breast Cancer,0.48630110739490023,0.5833147337616935,12
163,Breast Cancer,0.46922435852333594,0.5568441970121237,13
164,Breast Cancer,0.5026347934394889,0.6103391250276233,14
165,Breast Cancer,0.4981589080790878,0.604863752379073,15
166,Breast Cancer,0.4981589080790878,0.604863752379073,16
167,Breast Cancer,0.4981589080790878,0.604863752379073,17
168,Breast Cancer,0.5026347934394889,0.6103391250276233,18
169,Breast Cancer,0.5026347934394889,0.6103391250276233,19
170,Breast Cancer,0.5026347934394889,0.6103391250276233,20
171,Breast Cancer,0.5026347934394889,0.6103391250276233,21
172,Breast Cancer,0.5026347934394889,0.6103391250276233,22
173,Breast Cancer,0.5026347934394889,0.6103391250276233,23
174,Breast Cancer,0.5026347934394889,0.6103391250276233,24
175,Breast Cancer,0.5026347934394889,0.6103391250276233,25
176,Breast Cancer,0.5026347934394889,0.6103391250276233,26
177,Breast Cancer,0.4981589080790878,0.604863752379073,27
178,Breast Cancer,0.5026347934394889,0.6103391250276233,28
179,Breast Cancer,0.5026347934394889,0.6103391250276233,29
180,Digits,0.3331771311130888,0.22649055244007418,0
181,Digits,0.8335313103692,0.6807214483072411,1
182,Digits,2.3140630140104056e-16,0.0,2
183,Digits,2.3140630140104056e-16,0.0,3
184,Digits,2.3140630140104056e-16,0.0,4
185,Digits,2.3140630140104056e-16,0.0,5
186,Digits,0.25608920542014496,0.11071696054247247,6
187,Digits,0.26607574988112176,0.11313543707023324,7
188,Digits,0.2715364292702937,0.11354324601431116,8
189,Digits,0.27793746631855004,0.11723938801140713,9
190,Digits,0.286619844521548,0.1210800158530336,10
191,Digits,2.3140630140104056e-16,0.0,11
192,Digits,2.3140630140104056e-16,0.0,12
193,Digits,2.3140630140104056e-16,0.0,13
194,Digits,2.3140630140104056e-16,0.0,14
195,Digits,2.3140630140104056e-16,0.0,15
196,Digits,2.3140630140104056e-16,0.0,16
197,Digits,2.3140630140104056e-16,0.0,17
198,Digits,2.3140630140104056e-16,0.0,18
199,Digits,2.3140630140104056e-16,0.0,19
200,Digits,2.3140630140104056e-16,0.0,20
201,Digits,2.3140630140104056e-16,0.0,21
202,Digits,2.3140630140104056e-16,0.0,22
203,Digits,2.3140630140104056e-16,0.0,23
204,Digits,2.3140630140104056e-16,0.0,24
205,Digits,2.3140630140104056e-16,0.0,25
206,Digits,2.3140630140104056e-16,0.0,26
207,Digits,2.3140630140104056e-16,0.0,27
208,Digits,2.3140630140104056e-16,0.0,28
209,Digits,2.3140630140104056e-16,0.0,29
